Frame ID,Marker ID,Top Left,Top Right,Bottom Right,Bottom Left
516,4,"(534.0, 201.0)","(603.0, 201.0)","(602.0, 270.0)","(533.0, 270.0)"
516,7,"(213.0, 444.0)","(214.0, 403.0)","(254.0, 403.0)","(254.0, 445.0)"
517,4,"(528.0, 203.0)","(601.0, 202.0)","(601.0, 273.0)","(528.0, 274.0)"
517,7,"(201.0, 459.0)","(201.0, 417.0)","(243.0, 417.0)","(243.0, 459.0)"
518,4,"(483.0, 201.0)","(559.0, 203.0)","(557.0, 277.0)","(481.0, 277.0)"
518,7,"(133.0, 467.0)","(134.0, 423.0)","(179.0, 423.0)","(177.0, 468.0)"
519,4,"(365.0, 217.0)","(451.0, 217.0)","(451.0, 296.0)","(365.0, 296.0)"
520,4,"(294.0, 199.0)","(385.0, 201.0)","(384.0, 281.0)","(292.0, 281.0)"
521,4,"(158.0, 171.0)","(260.0, 174.0)","(258.0, 261.0)","(156.0, 260.0)"
522,4,"(6.0, 187.0)","(118.0, 191.0)","(114.0, 284.0)","(3.0, 284.0)"
537,6,"(401.0, 244.0)","(410.0, 244.0)","(410.0, 253.0)","(401.0, 253.0)"
542,6,"(401.0, 232.0)","(409.0, 233.0)","(409.0, 242.0)","(400.0, 242.0)"
543,6,"(393.0, 231.0)","(402.0, 230.0)","(403.0, 240.0)","(394.0, 240.0)"
554,6,"(450.0, 261.0)","(461.0, 261.0)","(461.0, 271.0)","(451.0, 272.0)"
555,6,"(513.0, 242.0)","(523.0, 242.0)","(523.0, 253.0)","(512.0, 253.0)"
562,6,"(463.0, 242.0)","(474.0, 241.0)","(475.0, 253.0)","(464.0, 254.0)"
563,6,"(454.0, 270.0)","(466.0, 270.0)","(467.0, 282.0)","(455.0, 282.0)"
565,6,"(481.0, 258.0)","(493.0, 258.0)","(493.0, 271.0)","(481.0, 271.0)"
566,6,"(484.0, 261.0)","(496.0, 261.0)","(496.0, 274.0)","(484.0, 274.0)"
568,6,"(474.0, 282.0)","(486.0, 282.0)","(487.0, 294.0)","(475.0, 295.0)"
571,6,"(442.0, 260.0)","(455.0, 259.0)","(456.0, 273.0)","(443.0, 274.0)"
572,6,"(444.0, 278.0)","(457.0, 276.0)","(459.0, 290.0)","(445.0, 291.0)"
